"filename" "count" "list"
"1" "SQLState.java" 176 "1, 301, 330, 387, 392, 414, 583, 596, 610, 691, 783, 791, 915, 975, 1165, 1183, 1351, 1356, 1497, 1641, 2408, 2568, 2903, 2920, 2954, 2976, 3123, 3239, 3388, 3421, 3779, 3953, 4455, 4525, 4655, 5215, 5495, 5583, 5707, 5905, 6175, 6229, 6402, 6496, 6510, 7000, 7023, 7281, 7284, 7332, 7343, 7378, 7518, 7670, 7760, 8060, 8082, 8192, 8426, 8433, 8489, 8554, 8727, 8777, 8855, 8984, 9282, 9312, 9558, 10125, 10149, 10218, 10314, 10397, 10421, 10426, 10434, 10449, 10505, 10638, 10858, 10915, 10948, 10958, 11260, 11295, 11361, 11403, 11423, 11447, 11665, 11680, 11751, 11808, 11863, 11896, 12050, 12097, 12108, 12388, 12510, 12764, 13049, 13327, 13524, 13543, 13607, 13780, 13808, 13838, 13865, 13878, 13981, 14076, 14125, 14183, 14299, 14309, 14320, 14381, 14446, 14453, 14583, 14619, 14768, 14811, 14994, 15106, 15353, 15358, 15569, 15600, 15612, 15655, 15693, 15844, 15986, 16026, 16285, 16330, 16562, 16591, 16797, 16932, 17111, 17127, 17230, 17275, 17361, 17581, 17582, 17752, 17962, 17996, 18051, 18301, 18310, 18344, 18426, 18465, 18563, 18569, 18835, 18837, 19016, 19255, 19361, 19702, 19935, 20350, 20552, 20731, 20760, 20765, 20892, 20959"
"2" "SQLStateConstants.java" 2 "2, 611"
"3" "NetworkServerControl.java" 29 "3, 831, 901, 3253, 3947, 4536, 5330, 6119, 6718, 8009, 8324, 8384, 8813, 8870, 9106, 9983, 10345, 10959, 11611, 11782, 12379, 15163, 17374, 17831, 18801, 19127, 19805, 20450, 20775"
"4" "server.policy" 6 "4, 6224, 8757, 15474, 18147, 18975"
"5" "template.policy" 5 "5, 8758, 15894, 18993, 20423"
"6" "utilMain.java" 18 "6, 1517, 1842, 2108, 3604, 3909, 5348, 6500, 9419, 9535, 10687, 12946, 13408, 13616, 16277, 17245, 18143, 20014"
"7" "BaseMonitor.java" 64 "7, 111, 194, 295, 725, 1341, 1706, 1817, 1919, 2249, 2455, 3170, 3244, 3275, 3377, 3833, 4121, 4362, 4382, 4527, 4876, 4888, 5193, 5791, 5896, 6106, 6334, 6548, 7450, 8190, 8388, 8723, 8736, 8859, 9937, 11251, 11601, 11708, 12224, 12850, 13695, 13728, 14268, 14676, 14752, 15878, 15990, 16317, 16373, 16426, 16458, 16539, 16605, 17048, 17094, 17136, 17158, 17223, 17574, 18946, 19030, 19085, 19098, 19351"
"8" "SingleThreadDaemonFactory.java" 6 "8, 3834, 4877, 12904, 13730, 18977"
"9" "SingletonTimerFactory.java" 23 "9, 195, 726, 1146, 1917, 4226, 4234, 6079, 8200, 8410, 9166, 10925, 10927, 12125, 12635, 14677, 15768, 16606, 17049, 17191, 17577, 17986, 20404"
"10" "BaseTypeIdImpl.java" 21 "10, 711, 2419, 3960, 4341, 9377, 9901, 10031, 10484, 10879, 12694, 14091, 14650, 17124, 17729, 18154, 18941, 19142, 19402, 20172, 20577"
"11" "BinaryOperatorNode.java" 46 "11, 263, 884, 930, 1869, 3840, 4013, 5054, 5598, 5637, 5694, 6728, 7075, 7162, 8575, 8602, 8966, 9231, 10037, 11870, 12520, 13587, 13839, 14341, 14651, 15171, 15307, 15461, 15819, 16116, 16508, 16643, 16765, 16781, 16889, 17456, 17801, 18062, 18179, 18606, 19000, 19007, 19147, 19381, 19403, 19869"
"12" "CreateAliasNode.java" 31 "12, 160, 279, 765, 1080, 1780, 2967, 3507, 5505, 6128, 7605, 9542, 9576, 10061, 10600, 12570, 12680, 12696, 14222, 15625, 16141, 16220, 16632, 17426, 18162, 18630, 19164, 19565, 20132, 20389, 21005"
"13" "DataDictionaryImpl.java" 244 "13, 85, 164, 235, 310, 322, 355, 507, 577, 631, 636, 734, 754, 1082, 1243, 1254, 1282, 1358, 1469, 1558, 1564, 1624, 1845, 1855, 2052, 2227, 2234, 2274, 2333, 2528, 2536, 2559, 2577, 2905, 3101, 3107, 3160, 3232, 3264, 3276, 3407, 3440, 3508, 3564, 3602, 3614, 3664, 3749, 3784, 3861, 3894, 3972, 4032, 4070, 4176, 4229, 4242, 4306, 4345, 4459, 4674, 4852, 5023, 5076, 5194, 5244, 5352, 5488, 5585, 5672, 5701, 5746, 5796, 6016, 6103, 6148, 6198, 6215, 6263, 6301, 6503, 6545, 6901, 6921, 6981, 7088, 7497, 7591, 7625, 7719, 7770, 7826, 7889, 7921, 7995, 8089, 8175, 8210, 8287, 8353, 8465, 8652, 8657, 8712, 8721, 8769, 8805, 8860, 8887, 8917, 8921, 8933, 8987, 8999, 9040, 9292, 9462, 9892, 9903, 9994, 10071, 10179, 10230, 10399, 10485, 10506, 10587, 10759, 10822, 10880, 10934, 10954, 10963, 10968, 11066, 11075, 11160, 11276, 11289, 11299, 11318, 11410, 11417, 11538, 11740, 11841, 11884, 12035, 12132, 12209, 12303, 12503, 12651, 12669, 12782, 13037, 13057, 13382, 13515, 13631, 13793, 13817, 13820, 13885, 14072, 14219, 14285, 14421, 14502, 14742, 14826, 14886, 14921, 14942, 15054, 15123, 15204, 15326, 15339, 15397, 15419, 15436, 15448, 15472, 15496, 15533, 15565, 15619, 15632, 15681, 15867, 15957, 16184, 16258, 16328, 16387, 16413, 16447, 16455, 16460, 16673, 16813, 17029, 17329, 17342, 17369, 17393, 17427, 17521, 17543, 17642, 17671, 17673, 17812, 17943, 17972, 18081, 18191, 18323, 18395, 18514, 18795, 18854, 18914, 18919, 18951, 19023, 19063, 19122, 19175, 19263, 19595, 19939, 20147, 20228, 20325, 20391, 20508, 20670, 20722, 20919, 20948, 20989, 21007"
