"filename" "count" "list"
"1" "Security.java" 13 "1, 498, 1065, 1333, 2284, 2294, 2825, 2835, 2855, 7262, 9933, 11344, 11452"
"2" "SecurityTests.java" 10 "2, 499, 1334, 2856, 5346, 7080, 7205, 7263, 9935, 11453"
"3" "CardinalityAggregator.java" 8 "3, 131, 2723, 6739, 7238, 7505, 9236, 10881"
"4" "CardinalityAggregatorFactory.java" 5 "4, 132, 6740, 7239, 9237"
"5" "HyperLogLogPlusPlus.java" 3 "5, 200, 6764"
"6" "SuggestSearchTests.java" 42 "6, 316, 326, 1020, 2116, 2136, 2322, 2326, 2570, 2900, 2979, 3001, 3058, 3141, 3619, 4108, 4409, 5012, 5041, 5071, 5396, 5405, 5437, 5811, 7206, 8345, 8353, 8512, 8621, 8673, 8888, 9991, 10043, 10950, 11166, 11211, 11311, 11484, 11571, 11577, 11707, 12136"
"7" "LocalTransport.java" 11 "7, 76, 252, 2303, 3087, 3857, 6206, 8687, 9986, 11559, 11870"
"8" "MessageChannelHandler.java" 8 "8, 2851, 5546, 6207, 11254, 11560, 11871, 12030"
"9" "TransportService.java" 19 "9, 78, 255, 1733, 2310, 2865, 5108, 6658, 8060, 8706, 9465, 9990, 10371, 10671, 11106, 11269, 11872, 11876, 13183"
"10" "TransportServiceAdapter.java" 1 "10"
"11" "GeoEncodingTests.java" 1 "11"
"12" "pom.xml" 122 "12, 101, 263, 306, 460, 620, 641, 715, 1223, 1330, 1331, 1346, 1371, 1401, 1435, 1582, 1619, 1720, 1943, 1976, 2031, 2100, 2140, 2227, 2283, 2314, 2333, 2393, 2486, 2555, 2675, 2822, 2824, 2840, 2968, 3309, 3543, 3580, 3802, 3854, 4047, 4070, 4122, 4145, 4240, 4267, 4356, 4486, 4568, 4819, 4923, 5004, 5093, 5118, 5245, 5256, 5265, 5334, 5398, 5476, 5530, 5828, 5904, 6100, 6720, 6751, 6871, 7004, 7090, 7150, 7310, 7437, 7604, 7816, 7818, 7953, 8080, 8239, 8266, 8274, 8423, 9086, 9103, 9106, 9317, 9383, 9522, 9561, 9600, 9757, 9777, 9793, 9798, 10222, 10465, 10519, 10595, 10635, 10754, 10868, 10936, 11013, 11257, 11343, 11374, 11386, 11510, 11543, 11780, 11896, 11996, 12023, 12171, 12295, 12327, 12410, 12476, 12570, 12704, 12715, 12867, 13251"
"13" "Version.java" 60 "13, 176, 178, 657, 694, 817, 839, 1003, 1157, 1439, 1445, 1646, 1723, 2032, 2139, 2224, 2295, 2475, 2499, 2898, 3073, 3129, 3297, 3482, 3763, 3799, 4072, 4123, 4269, 4407, 5281, 5333, 5341, 5601, 6302, 6342, 6387, 6729, 7149, 7609, 7920, 8209, 8277, 8293, 8916, 10060, 10397, 10706, 10817, 11436, 11572, 12026, 12172, 12684, 12707, 12810, 12976, 13129, 13139, 13254"
"14" "CombiTests.java" 2 "14, 6037"
"15" "InvalidAliasNameException.java" 1 "15"
"16" "InvalidTypeNameException.java" 1 "16"
"17" "RestDeleteMappingAction.java" 3 "17, 1853, 9369"
