"filename" "count" "list"
"1" "NioClientSocketPipelineSink.java" 46 "1, 114, 507, 1753, 2105, 2609, 4919, 5973, 6464, 6683, 7248, 7518, 7682, 7904, 7930, 8290, 8837, 9168, 9233, 9968, 10096, 10296, 11052, 11350, 11832, 12335, 12404, 12860, 13049, 13572, 13791, 14109, 14378, 14428, 15216, 15816, 16248, 16827, 16841, 17178, 17532, 17875, 18648, 18982, 19168, 19613"
"2" "NioServerSocketPipelineSink.java" 40 "2, 1980, 2106, 6465, 6474, 6684, 7249, 7520, 7683, 7824, 8292, 8838, 9169, 9248, 9517, 9969, 10098, 10300, 11351, 12336, 12405, 12862, 13050, 13573, 13792, 13940, 14111, 14381, 14430, 15218, 16842, 17179, 17534, 17877, 18269, 18452, 18959, 18983, 19169, 19614"
"3" "NioWorker.java" 150 "3, 34, 278, 327, 340, 366, 410, 490, 841, 1270, 1424, 1681, 1755, 1785, 1867, 1949, 1979, 2046, 2050, 2076, 2107, 2175, 2246, 2313, 2478, 2904, 3081, 3504, 3680, 3845, 3847, 4142, 4244, 4676, 4913, 5012, 5239, 5384, 5403, 5569, 6127, 6139, 6166, 6169, 6466, 6685, 6866, 7250, 7261, 7521, 7684, 7691, 7717, 7825, 7906, 7932, 7984, 8070, 8083, 8293, 8304, 8336, 8488, 8573, 8839, 9170, 9249, 9518, 9588, 9970, 9980, 10099, 10122, 10132, 10204, 10226, 10302, 10354, 10419, 10600, 10804, 10877, 10997, 11071, 11162, 11352, 11522, 11608, 11857, 11983, 12059, 12308, 12337, 12406, 12749, 12863, 13051, 13201, 13226, 13309, 13574, 13617, 13618, 13700, 13793, 13960, 14051, 14112, 14325, 14382, 14391, 14431, 14530, 14723, 14747, 15076, 15219, 15394, 15675, 15807, 15817, 15900, 15939, 16229, 16828, 16831, 16843, 16966, 17104, 17180, 17535, 17643, 17878, 18040, 18069, 18119, 18270, 18453, 18506, 18616, 18639, 18682, 18828, 18960, 18984, 18999, 19137, 19170, 19236, 19615"
"4" "OioClientSocketPipelineSink.java" 27 "4, 2108, 6467, 6686, 7251, 7522, 8294, 8840, 9171, 9971, 10100, 11353, 12407, 12864, 13052, 13794, 14113, 14383, 14432, 15220, 16844, 17181, 17536, 17879, 18985, 19171, 19616"
"5" "OioServerSocketPipelineSink.java" 30 "5, 2110, 4914, 6469, 6688, 7252, 7525, 7685, 8297, 8842, 9173, 9973, 10103, 10166, 11355, 12408, 12866, 12997, 13054, 13202, 13575, 13796, 15223, 16846, 17182, 17539, 17882, 18987, 19173, 19618"
"6" "ThreadRenamingRunnable.java" 25 "6, 1890, 2244, 4915, 5108, 7253, 7527, 8844, 9177, 9748, 9883, 10104, 12060, 12832, 12869, 13203, 14095, 14269, 15225, 15637, 16428, 17596, 17884, 18308, 18615"
"7" "DefaultHttp2Connection.java" 152 "7, 255, 268, 398, 625, 689, 810, 827, 957, 985, 1060, 1195, 1672, 1699, 1791, 2030, 2064, 2189, 2276, 2283, 2430, 2518, 3335, 3484, 3611, 3831, 4150, 4201, 4562, 4621, 4812, 4922, 5006, 5130, 5522, 5719, 6081, 6104, 6125, 6402, 6477, 7097, 7200, 7428, 7493, 7687, 7942, 8283, 8324, 8326, 8351, 8629, 8664, 8667, 9047, 9180, 9215, 9297, 9468, 9531, 9640, 9693, 9744, 9830, 9922, 10081, 10083, 10227, 10266, 10270, 10331, 10333, 10406, 10493, 10667, 10686, 10690, 10899, 10912, 10962, 10969, 11617, 12321, 12324, 12350, 12431, 12540, 12666, 13083, 13516, 13542, 13702, 13705, 13776, 13825, 13842, 13938, 13979, 14008, 14017, 14036, 14102, 14118, 14146, 14192, 14374, 14406, 14763, 14778, 14796, 14839, 14846, 15199, 15213, 15308, 15334, 15413, 15443, 15676, 15778, 15902, 15928, 16059, 16180, 16197, 16216, 16540, 16603, 16761, 16820, 16961, 17117, 17335, 17407, 17560, 17576, 17658, 17786, 17942, 18155, 18290, 18401, 18645, 18660, 19000, 19190, 19192, 19249, 19296, 19509, 19625, 19721"
"8" "DefaultHttp2ConnectionTest.java" 38 "8, 257, 626, 986, 1200, 2069, 2190, 2287, 4151, 4622, 4923, 6105, 7102, 7688, 8327, 8671, 9532, 9694, 9745, 10334, 10496, 10916, 13084, 13543, 13703, 13826, 13980, 14193, 14840, 15200, 15214, 15311, 16217, 16962, 17336, 17565, 18295, 19297"
"9" "Http2Connection.java" 213 "7, 9, 255, 258, 268, 276, 398, 403, 625, 627, 689, 810, 827, 828, 957, 985, 988, 1060, 1195, 1201, 1672, 1676, 1699, 1700, 1791, 1792, 2030, 2036, 2064, 2072, 2189, 2191, 2276, 2283, 2288, 2430, 2518, 2522, 3335, 3484, 3611, 3831, 4150, 4152, 4201, 4562, 4621, 4812, 4922, 4925, 5006, 5130, 5522, 5529, 5719, 6081, 6104, 6106, 6125, 6402, 6403, 6477, 7097, 7104, 7200, 7428, 7493, 7687, 7942, 8283, 8324, 8326, 8328, 8351, 8629, 8664, 8667, 8672, 9047, 9180, 9181, 9215, 9297, 9468, 9475, 9531, 9533, 9640, 9693, 9695, 9744, 9746, 9830, 9922, 10081, 10083, 10084, 10227, 10233, 10266, 10269, 10270, 10331, 10333, 10406, 10493, 10497, 10667, 10668, 10686, 10687, 10690, 10899, 10912, 10917, 10962, 10969, 11617, 12321, 12324, 12350, 12431, 12540, 12666, 13083, 13086, 13516, 13542, 13544, 13702, 13704, 13705, 13709, 13776, 13783, 13825, 13842, 13843, 13938, 13979, 13981, 14008, 14017, 14036, 14102, 14118, 14146, 14192, 14201, 14374, 14375, 14406, 14763, 14778, 14796, 14839, 14841, 14846, 14851, 15199, 15201, 15213, 15215, 15308, 15312, 15334, 15413, 15443, 15676, 15778, 15902, 15928, 16059, 16180, 16197, 16216, 16218, 16540, 16603, 16761, 16820, 16825, 16961, 17117, 17118, 17335, 17337, 17407, 17560, 17569, 17576, 17582, 17658, 17786, 17942, 18155, 18290, 18297, 18401, 18645, 18646, 18660, 18667, 19000, 19005, 19190, 19192, 19249, 19296, 19509, 19625, 19721, 19726"
"10" "Http2ConnectionAdapter.java" 7 "10, 4153, 4926, 9534, 9696, 13982, 18298"
