"filename" "count" "list"
"1" "QueryCacheStoreQuery.java" 22 "1, 1034, 1189, 1206, 1280, 1902, 2324, 2342, 2496, 2637, 3222, 3301, 3412, 3678, 3912, 4163, 4336, 5236, 5454, 5744, 5815, 5956"
"2" "BrokerImpl.java" 140 "2, 120, 153, 182, 191, 198, 199, 232, 250, 283, 303, 346, 347, 351, 369, 519, 588, 604, 621, 817, 899, 900, 916, 919, 923, 1020, 1050, 1087, 1100, 1146, 1214, 1230, 1286, 1308, 1315, 1329, 1363, 1399, 1534, 1545, 1591, 1602, 1610, 1717, 1746, 1749, 1851, 1874, 1897, 1935, 1958, 2025, 2101, 2132, 2218, 2347, 2426, 2505, 2554, 2607, 2645, 2693, 2705, 2790, 2810, 2840, 2926, 2937, 2975, 2989, 3011, 3049, 3120, 3133, 3219, 3349, 3353, 3417, 3558, 3580, 3594, 3609, 3623, 3644, 3688, 3718, 3881, 3888, 3927, 3939, 3989, 3993, 4014, 4120, 4122, 4126, 4130, 4146, 4174, 4216, 4318, 4319, 4338, 4350, 4421, 4446, 4493, 4522, 4549, 4592, 4744, 4788, 4801, 4850, 4860, 4867, 4882, 5030, 5038, 5053, 5062, 5103, 5173, 5178, 5270, 5294, 5312, 5333, 5379, 5408, 5515, 5630, 5640, 5692, 5795, 5822, 5836, 5869, 5896, 5983"
"3" "InExpression.java" 3 "3, 895, 2278"
"4" "pom.xml" 75 "4, 24, 45, 317, 322, 336, 343, 356, 406, 448, 561, 585, 712, 760, 851, 932, 970, 1010, 1014, 1029, 1250, 1389, 1410, 1476, 1548, 2082, 2148, 2235, 2290, 2344, 2346, 2418, 2437, 2467, 2717, 2730, 2750, 2882, 2900, 2943, 2985, 3182, 3267, 3387, 3468, 3526, 3571, 3604, 3861, 3887, 3901, 3922, 4015, 4113, 4121, 4257, 4289, 4290, 4362, 4473, 4480, 4516, 4672, 4843, 4859, 5401, 5428, 5473, 5620, 5672, 5736, 5780, 5838, 5984, 5985"
"5" "AbstractWriteBehindTestCase.java" 1 "5"
"6" "AbstractBrokerFactory.java" 49 "6, 152, 298, 399, 484, 512, 1027, 1223, 1290, 1362, 1541, 1626, 1716, 1953, 2079, 2081, 2359, 2371, 2491, 2699, 2789, 2850, 2928, 2936, 3163, 3212, 3345, 3510, 3587, 3926, 3952, 4119, 4124, 4162, 4172, 4252, 4491, 5057, 5102, 5172, 5249, 5396, 5493, 5655, 5657, 5721, 5758, 5846, 5913"
"7" "ProductDerivations.java" 30 "7, 129, 308, 319, 709, 1064, 1263, 1416, 1508, 1562, 1915, 2097, 2153, 2332, 2413, 2624, 2636, 3343, 3697, 3869, 4430, 4432, 4535, 4749, 4770, 4892, 5247, 5320, 5485, 5772"
"8" "AbstractMetaDataFactory.java" 1 "8"
"9" "DelegatingMetaDataFactory.java" 5 "9, 668, 1641, 1977, 2327"
"10" "SQLServerDictionary.java" 19 "10, 398, 1182, 1511, 1616, 1822, 1984, 2208, 2747, 3331, 3333, 3936, 4440, 4677, 4796, 5035, 5295, 5505, 5762"
